Text;Category
Virtus.pro победила на IEM Rio Major 2022 по CS:GO. В финале она обыграла Heroic со счетом 2:0 — 16:12 на Mirage и 16:5 на Overpass. За первое место коллектив Джами Jame Али заработал $500 тыс. и слоты на IEM Katowice 2023 и BLAST Premier: World Final 2022. Обе команды вышли в плей-офф со статистикой 3:1 в стадии Legends. В четвертьфинале Heroic оказалась сильнее Team Spirit, а затем в полуфинале одолела FURIA Esports. На пути к решающему матчу VP победила Fnatic и MOUZ. IEM Rio Major 2022 прошел с 31 октября по 13 ноября в Рио-де-Жанейро, Бразилия. Команды разыграли призовой фонд в размере $1,25 млн. ;Спорт
"Российские ученые разработали инновационный метод контроля хирургических швов с помощью оптической оксигенации. Ученые из Инженерно-физического института биомедицины НИЯУ МИФИ создали уникальную методику, позволяющую оценивать качество хирургических швов на основе оптического анализа уровня кислорода в тканях. Эта технология помогает предсказывать риски расхождения швов после операций, что особенно важно при лечении онкологических заболеваний, например, рака кишечника. 
Как это работает?
Метод основан на спектроскопии – измерении рассеянного тканями света через оптоволокно, введенное в эндоскоп. Разница в поглощении света оксигемоглобином и дезоксигемоглобином позволяет оценить насыщение тканей кислородом по всей толщине органа.";Здоровье
Вопрос о причинах Первой мировой войны является одним из самых обсуждаемых в мировой историографии с момента начала войны в июле 1914 года. Непосредственным поводом начала военных действий принято считать Сараевское убийство эрцгерцога Франца Фердинанда сербским националистом Гаврилой Принципом. С другой стороны, столь же общепризнано, что убийство было лишь формальным поводом, «толчком» к войне, в то время как к ней исподволь вели многочисленные скрытые факторы, центральными из которых являлось желание Великобритании и молодой Германской империи господствовать в мире и конкурирующие национальные интересы крупнейших европейских держав.;Образование
В сети появилось объявление о поиске вице-президента по маркетингу в TON Foundation. Согласно вакансии, успешный кандидат займётся «разработкой и реализацией высокоэффективных маркетинговых стратегий, которые укрепят экосистему TON, привлекут новых пользователей и расширят глобальное присутствие бренда». Этот руководитель отдела маркетинга также будет работать с директорами TON Foundation над составлением бюджетов и сотрудничать с отделом видеопроизводства в создании видеоконтента для социальных сетей TikTok, Instagram и YouTube. Новое объявление о вакансии появилось на фоне разногласий вокруг 10-летней инициативы TON Foundation «Золотая виза» в ОАЭ. Фонд представил программу 6 июля, заявив, что инвесторы, которые в течение трёх лет вложат $100,000 в Toncoin и заплатят комиссию за обработку в размере $35,000, смогут получить 10-летнюю визу в ОАЭ.;Другое
А быстро тут. Сочувствующий русскому народу вольнодумец Илон Маск зарегистрировал свою новую Американскую партию. Она получила аббревиатуру AMEP.  Цель у Илона получить ту самую золотую акцию в Конгрессе, чтобы ловко блокировать различные двухпартийные договорняки между республиканцами и демократами. В последний раз нечто подобное попытался провернуть политик Росс Перо в 1995 году со своей Реформистской партией США, но у него ничего не получилось. Хотя ранее на президентских выборах, как независимый кандидат он умудрился набрать почти 19 процентов голосов, которые он отобрал у республиканцев и этим он смог обеспечить уверенную победу Билла Клинтона на выборах президента в 1992 году. Кстати он так же был бизнесменом, который специализировался на сфере высоких технологий. Пожелаем Илону Маску удачи в расшатывании политической системы США. Быть добру!;Новости и политика
Дмитрий Ликс выиграл картинг-соревнование. Бустер пришёл вторым, а Пчелкин замкнул тройку лидеров. Финальный заезд получился трогательным — ребята пересекли финиш, держась за руки. Прямую трансляцию на канале Братишкина смотрели свыше 30.000 зрителей.;Развлечения
В Копенгагене завершился The International 2024 — главный турнир по игре Dota 2. На протяжении двух недель лучшие команды мира вели борьбу за престижный трофей и призовой фонд в размере $ 2,6 млн. Чемпионом стала шведская команда Team Liquid, обыграв в финале европейскую Gaimin Gladiators с Антоном dyrachYO Шкредовым в роли керри. Третье место заняла Tundra Esports, в которой выступает два игрока из России.;Спорт
Кофе на самом деле не бодрит кофеманов, говорят врачи. Если пить его постоянно, эффект будет обратным: организм привыкает к кофеину, и он больше не работает как раньше. В итоге каждая новая чашка не даёт энергии, а, наоборот, усиливает усталость, делает человека вялым и может вызывать перебои в работе сердца.;Здоровье
"А знали ли вы, что Московский Кремль – это не просто сердце России, а самый масштабный средневековый форпост на планете?
Гигантские размеры: Его территория (27,5 га) могла бы вместить 38 футбольных полей! Длина стен – 2,5 км – это как пройти 3 станции метро. 
Неприступные стены: Высота некоторых участков достигает 19 метров – с 6-этажный дом! А толщина стен местами – 6,5 метров. 
Умная архитектура 20 уникальных башен: 
-Спасская – с легендарными курантами 
-Тайницкая – с секретным колодцем 
-Водовзводная – первая с водопроводом 
Возраст – почти 600 лет. Современные стены строили итальянские зодчие в 1485-1516 гг. Но первая крепость на этом месте возникла еще в XII веке!
Любопытный факт:  На месте Кремля когда-то стояла деревянная крепость, а белокаменной она стала при Дмитрии Донском и до XV века Кремль был белокаменным – отсюда и выражение «Москва белокаменная».";Образование
"Всем привет, надеюсь у вас всё замечательно.
Немножко решил отдохнуть в этом месяце, как видите :) 
Дальше все лето планирую стабильно делать по 3 видоса в месяц .
-Сейчас снимаем проверку интересных мифов и экспериментов с разными людьми, видос выйдет 31 числа
-В очередной раз общаюсь по поводу масштабной локации по пряткам, очень надеюсь, что всё получится 
-Также до конца месяца снимаем «Угадай зека наоборот» 
Вырисовывается очень смешной состав, выйдет скорее всего в первой половине июня.
-Собираю второй каст на 6 комнат, хочу позвать новых крутых гостей, кого бы хотели видеть ?";Другое
"Самарский миграционный кризис
О миграционных вызовах в Самарской области
Самарская область, как и практически любой другой регион России, стала жертвой миграционной политики последних десятилетий. Бурное развитие города и темпы строительства в нем привели к тому, что мигранты хлынули сюда на заработки и привезли с собой свору проблем. 
О миграционной ситуации в Самарской области: 
??В 2024 году в Самарской области на миграционном учете стояло 202 тысячи человек. Наибольшее количество из них составляли граждане — Узбекистана (84 тысячи) и Таджикистана (62 тысячи).
??Только лишь 57,4% из общего количества иностранцев количества указали целью визита работу, часть из них осталась в теневом секторе, а другая подалась в криминал.
??За прошлый год было выявлено более 800 уголовных преступлений, совершенных приезжими, а также 5587 преступлений в сфере миграции, что на 46,6% больше, чем годом ранее.
??Увеличению количества раскрытых преступлений поспособствовала политика новых самарских властей, которые всерьез взялись за проблему миграции.
??Благодаря этому, в регионе в 2024 году было проведено 2377 рейдов, по результатам которых из Самарской области было депортировано более 4 тысяч мигрантов.
Ситуация с мигрантами остается по-прежнему напряженной. В новостных сводках практически ежемесячно появляются новости о зверских нападениях, изнасилованиях и домогательствах. Приезжие также организуют ячейки радикальных исламистских течений и захватывают целые улицы для совершения молитв.
С угрозами и нападениями со стороны мигрантов сталкиваются не только местные жители, но и представители власти. Дети мигрантов публично записали оскорбительное обращение к экс-Губернатору области, а избитыми этнической бандой оказались депутат Госдумы Михаил Матвеев и депутат местного райсовета. 
Команда нового Губернатора старается повлиять на ситуацию: в регионе вводятся ограничения на работу мигрантов в различных сферах экономики, а также учащаются рейды по выявлению нарушений в миграционной сфере. 
Несмотря на попытки властей ужесточить контроль над мигрантами, проблемы по-прежнему остаются. Именно поэтому необходимо начинать этот процесс еще до приезда рабочих в страну. А таких мер можно добиться только кардинальными реформами в области миграционной политики, которые уже давно назрели.";Новости и политика
"Известный американский рэпер DaBaby прилетел в Москву, чтобы дать долгожданный концерт, который планировал еще с 2022 года. Видео своего прибытия в столицу России артист опубликовал на своей странице в социальной сети Instagram.
На опубликованных кадрах видно, что артист прилетел во Внуково, после чего его с командой встретил русский народный ансамбль с баяном, исполнивший песню «Валенки». Также ему преподнесли в подарок дизайнерскую балалайку, которой артист был крайне рад, судя по реакции за кадром. Также DaBaby раздал автографы встретившим его поклонникам и обратил внимание на красоту Москвы. В разговоре с одним из фанатов, который подошел сфотографироваться с рэпером, он признался, что не ожидал такой холодной зимы, но очень доволен своим приездом в Россию.";Развлечения
Финал Кубка УЕФА 2008 года — финальный матч розыгрыша Кубка УЕФА 2007/08, 37-го сезона в истории Кубка УЕФА. Этот футбольный матч состоялся 14 мая 2008 года, на стадионе «Сити оф Манчестер» в Манчестере. В матче встретились российский «Зенит» и шотландский «Рейнджерс». Этот матч стал вторым еврокубковым финалом (после финала Кубка УЕФА 2005), до которого дошёл российский футбольный клуб.;Спорт
"Москва внедряет ""умный"" прием пациентов с помощью ИИ-агентов. Заммэра Москвы по вопросам социального развития Анастасия Ракова рассказала о новом этапе цифровизации столичной медицины. Теперь прием в медучреждениях станет еще более персонализированным благодаря искусственному интеллекту.
Саммаризация данных
ИИ-агент анализирует электронную карту пациента и выделяет только ту информацию, которая важна для текущего обращения - будь то жалобы на давление, боль в суставах или другие симптомы. Врач видит историю обращений, результаты исследований, назначенные препараты и даже вызовы скорой, связанные с проблемой.
Умная запись на прием
Пациент указывает цель визита в приложениях (""ЕМИАС.ИНФО"", ""Госуслуги Москвы"", ""Моя Москва"") или на порталах emias.info и mos.ru. Алгоритм задает уточняющие вопросы, чтобы точнее определить состояние и выявить возможные риски.";Здоровье
"21% старшеклассников определяются с выбором вуза в выпускной год, а 30% решают куда поступать только после сдачи ЕГЭ. Таковы результаты исследования предпочтений школьников при выборе вуза, проведенного EdTech-компанией «ПОВУЗАМ». География исследования включала девять регионов в Центральном, Северо-Западном, Приволжском и Сибирском федеральных округах, где с 15 по 31 мая были опрошены 900 учеников выпускных классов.
От выбранного вуза 65% школьников ожидают «интересного учебного процесса». Обрасти социальными связями и нужными контактами в период студенчества важно для 26% абитуриентов, которые в качестве главного ожидания от обучения указали «Полезное окружение». «Знакомства в городе, где находится вуз», «Студенческая активность. Стипендия. Город, и район, в котором расположен кампус университета» — таковы типичные ответы. Еще 26% надеются, что учебная программа вуза даст им «возможность работать с первого курса», что очень важно для тех, кто не попадет на бюджетные места. Стоимость обучения при невысоких баллах ЕГЭ становится важным фактором выбора вуза, отметили старшеклассники в открытых вопросах.";Образование
"В ФОМСе заявили, что «скорую» стали реже вызывать из-за улучшений в амбулаторно-поликлиническом звене. «Количество вызовов ""Скорой помощи» сократилось на 4,4%. Мы видим, что увеличение объемов помощи в амбулаторно-поликлиническом звене приводит в итоге к снижению числа экстренных ситуаций», — цитируют «КП» председателя Федерального фонда ОМС Илью Баланина. Так, уточняется, что с января по май зафиксировано более 52 млн комплексных посещений (и диспансеризация, и профилактические осмотры детей или работников отдельных профессий). Также приводятся показатели диспансеризации репродуктивного здоровья: за этот же период зафиксировано 6 млн посещений.";Другое
"Депутат, расследовавший крупную коррупционную схему, найден повешенным
Расследовавшего коррупционную сделку с участием президента Франции Эмманюэля Макрона французского депутата нашли повешенным, пишет France info.
54-летнего члена партии «Республиканцы» Оливье Марлекса обнаружил мёртвым в собственном доме полицейский патруль. Ведётся расследование.
Марлекс расследовал возможный «акт коррупции» с участием Макрона при продаже Alstom компании General Electric. Депутат предполагал, что сделка могла профинансировать предвыборную кампанию нынешнего президента Франции в 2017 году.";Новости и политика
Премьера 3-го сезона «Игры в кальмара» состоится 27 июня 2025 года, спустя всего 6 месяцев после выхода 2-го. Съемки следующей главы культового шоу уже завершены — они проводились одновременно со съемками 2-го сезона. Кажется, вот только отгремел долгожданный 2-й сезон южнокорейского хита, как уже появились новости о скором выходе продолжения. Летом 2025 года зрители узнают, чем закончится история противостояния отважного Сон Ги-хуна и таинственной организации. Шоу получило феноменальный успех и с момента премьеры стало одним из флагманов Netflix, что вдохновило создателей на развитие целой франшизы.;Развлечения
Драфт НБА — ежегодная процедура выбора тридцатью клубами Национальной баскетбольной ассоциации новых баскетболистов, которые хотят вступить в лигу. Обычно эти игроки — выпускники американских колледжей, однако в последние годы увеличилось число игроков, попадающих в НБА из других стран или только что окончивших школу. В 2006 году НБА приняла меры, чтобы сократить число недоучившихся баскетболистов в лиге, теперь игроку на конец года, в котором проходит драфт, должно быть минимум 19 лет и он должен окончить школу не менее чем за год до этого. Как правило молодые игроки идут после школы в колледж, учатся там хотя бы год, после чего выставляют свои кандидатуры на драфт. Первым исключением из этого правила стал Брендон Дженнингс, не поступивший в колледж после школы, а проведший один сезон в итальянском профессиональном клубе, после чего выбранный на драфте 2009 года клубом «Милуоки Бакс».;Спорт
Власти Франции обеспокоены возможным возникновением эпидемий лихорадок денге и чикунгунья в европейской части государства из-за увеличения случаев заболеваемости. Об этом 26 мая сообщает телеканал BFMTV. «В регионе Овернь-Рона-Альпы наблюдается резкий рост числа случаев лихорадки денге и чикунгунья, органы здравоохранения опасаются эпидемии», — сообщается в материале.Для борьбы с распространением заболевания структуры здравоохранения используют «упреждающий подход». Уточняется, что причиной распространения болезни является проникновение в регион тигрового комара, через укусы которого и передается лихорадка.;Здоровье
"Ученые Кембриджского университета обнаружили доказательства жизни на планете, находящейся в 124 световых годах от Земли.Речь об экзопланете K2-18b. С помощью космического телескопа ""Джеймс Уэбб"" ученые смогли обнаружить в ее атмосфере диметилсульфид и диметилдисульфид. На Земле эти химические соединения производятся только живыми организмами. При этом на K2-18b их концентрация значительно выше земной.";Образование
В общем посидел и подумал, и пришел к умозаключению. Что твич задушил качество не просто так, а чтобы народ переползал на 2к стримы. Поясню. Старый метод стримов - теперь урезает трансу до 720p. Новый метод стримов - позволяет пускать поток в 2к, НО! Этот 2к недоступен в РФ без трех букв сервисов, но становится доступен 1080p. Так не только в России качество пропало, а много где. Принудительно пересаживают всех на новый способ. Исходя из этой логики советую всем стримерам обновить обс.;Другое
